Name,Platform,HasGuide,HasPlatinum,Difficulty,TimeToComplete,HasOnlineTrophies,Genre,Release(US),Guide
Skullgirls Encore,PS3(PSN),False,False,n/a,n/a,n/a,Fighting,2014-02-11,https://www.playstationtrophies.org/game/skullgirls-encore/guide/
Skydive: Proximity Flight,PS3(PSN),True,True,8,20,True,Sports and Fitness Racing,2013-10-01,https://www.playstationtrophies.org/game/skydive-proximity-flight/guide/
Sky Fighter,PS3(PSN),False,False,n/a,n/a,n/a,Shooter,2010-11-16,https://www.playstationtrophies.org/game/sky-fighter/guide/
Skydrift,PS3(PSN),False,False,n/a,n/a,n/a,Racing,2011-09-06,https://www.playstationtrophies.org/game/skydrift/guide/
Skyscrappers,PS4,True,True,2,3,False,Action Fighting,2015-11-10,https://www.playstationtrophies.org/game/skyscrappers-na/guide/
Slender: The Arrival,PS3(PSN),True,False,5,10,False,Action,2014-09-23,https://www.playstationtrophies.org/game/slender-the-arrival/guide/
Slime-san Superslime Edition,PS4,False,True,n/a,n/a,n/a,Action Adventure,2018-06-28,https://www.playstationtrophies.org/game/slime-san-superslime-edition-na/guide/
Sly Cooper and the Thievius Raccoonus HD,PS3,True,True,2,15,False,Adventure Platformer,2010-11-09,https://www.playstationtrophies.org/game/sly-cooper-collection-sly-1/guide/
Sly 2: Band of Thieves HD,PS3,True,True,2,14,False,Adventure Platformer,2010-11-09,https://www.playstationtrophies.org/game/the-sly-collection-sly-2/guide/
Sly 3: Honor Among Thieves HD,PS3,True,True,4,22,False,Adventure Platformer,2010-11-09,https://www.playstationtrophies.org/game/the-sly-collection-sly-3/guide/
Sly Cooper: Thieves in Time,PS3,True,True,3,15,True,Adventure Platformer,2013-02-05,https://www.playstationtrophies.org/game/sly-cooper-4-thieves-in-time/guide/
Smash Cars,PS3(PSN),True,False,3,10,True,Racing,2009-08-20,https://www.playstationtrophies.org/game/smash-cars/guide/
Snakeball,PS3(no_trophies),n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Sniper Elite III,PS4,True,True,7,20,False,Shooter,2014-07-01,https://www.playstationtrophies.org/game/sniper-elite-iii-ps4/guide/
Sniper Elite 4,PS4,True,True,4,10,False,Shooter,2017-02-14,https://www.playstationtrophies.org/game/sniper-elite-4/guide/
Sniper Elite V2,PS3,True,True,4,25,True,Shooter,2012-05-01,https://www.playstationtrophies.org/game/sniper-elite-v2/guide/
Sniper: Ghost Warrior,PS3,True,True,6,50,True,Shooter,2011-06-28,https://www.playstationtrophies.org/game/sniper-ghost-warrior/guide/
Sniper: Ghost Warrior 2,PS3,True,True,3,20,False,Shooter,2013-03-12,https://www.playstationtrophies.org/game/sniper-ghost-warrior-2/guide/
Soldner-X 2: Final Prototype,PS3(PSN),True,False,6,15,False,Shooter,2010-05-25,https://www.playstationtrophies.org/game/soldner-x-2-final-prototype/guide/
Soldner-X: Himmelssturmer,PS3(PSN),True,False,9,40,False,Shooter,2008-12-04,https://www.playstationtrophies.org/game/soldner-x-himmelssturmer/guide/
SOMA,PS4,True,False,2,10,False,Adventure,n/a,https://www.playstationtrophies.org/game/soma/guide/
Sonic Adventure,PS3(PSN),True,False,5,50,False,Adventure,2010-09-21,https://www.playstationtrophies.org/game/sonic-adventure/guide/
Sonic Adventure 2,PS3(PSN),True,False,4,24,False,Action,2012-10-02,https://www.playstationtrophies.org/game/sonic-adventure-2/guide/
Sonic CD,PS3(PSN),True,False,4,9,False,Platformer,2011-12-20,https://www.playstationtrophies.org/game/sonic-cd/guide/
Sonic Generations,PS3,True,True,3,25,True,Action Platformer,2011-11-01,https://www.playstationtrophies.org/game/sonic-generations/guide/
Sonic the Fighters,PS3(PSN),True,False,1,1,False,Fighting,2012-11-27,https://www.playstationtrophies.org/game/sonic-the-fighters/guide/
Sonic The Hedgehog 4 Episode I,PS3(PSN),True,False,6,6,True,Platformer,2010-10-12,https://www.playstationtrophies.org/game/sonic-the-hedgehog-4-episode-1/guide/
Sonic The Hedgehog 4 Episode II,PS3(PSN),True,False,5,5,True,Platformer,2012-05-15,https://www.playstationtrophies.org/game/sonic-4-ep2/guide/
Sonic Unleashed,PS3,True,True,9,35,False,Action Platformer,2008-12-12,https://www.playstationtrophies.org/game/sonic-unleashed/guide/
Soul Axiom,PS4,True,True,3,20,False,Adventure,2016-06-07,https://www.playstationtrophies.org/game/soul-axiom/guide/
Sound Shapes,PS4,True,True,1,10,False,Music and Rhythm Action,2013-11-15,https://www.playstationtrophies.org/game/sound-shapes-ps4/guide/
Space Ace,PS3(PSN),True,False,9,5,False,Adventure,2011-02-22,https://www.playstationtrophies.org/game/space-ace/guide/
Sparkle 2,PS4,True,False,7,35,False,Puzzle and Word Action,2014-05-20,https://www.playstationtrophies.org/game/sparkle-2-ps4/guide/
Sparkle Unleashed,PS4,False,False,n/a,n/a,n/a,Puzzle and Word,n/a,https://www.playstationtrophies.org/game/sparkle-unleashed/guide/
Spec Ops: The Line,PS3,True,True,7,16,True,Shooter,2012-06-26,https://www.playstationtrophies.org/game/spec-ops-the-line/guide/
Spelunker HD,PS3(PSN),True,True,5,15,False,Adventure Platformer,2010-11-23,https://www.playstationtrophies.org/game/spelunker-hd-na-eu/guide/
Spelunky,PS3(PSN),True,False,9,30,False,Action Adventure,2013-08-27,https://www.playstationtrophies.org/game/spelunky/guide/
Split/Second,PS3,True,True,6,25,True,Racing,2010-05-18,https://www.playstationtrophies.org/game/split-second/guide/
Square Heroes,PS4,True,True,4,10,True,Action Shooter,2016-03-01,https://www.playstationtrophies.org/game/square-heroes/guide/
StarDrone,PS3(PSN),True,False,4,10,False,Puzzle and Word Action,2011-04-05,https://www.playstationtrophies.org/game/stardrone/guide/
Starhawk,PS3,True,True,5,100,True,Shooter,2012-05-08,https://www.playstationtrophies.org/game/starhawk/guide/
Star Raiders,PS3(PSN),True,False,3,5,False,Shooter,2011-06-01,https://www.playstationtrophies.org/game/star-raiders/guide/
Star Wars: Bounty Hunter,PS4,True,False,3,10,False,Shooter,2016-01-15,https://www.playstationtrophies.org/game/star-wars-bounty-hunter/guide/
Star Wars: Jedi Starfighter,PS4,False,False,n/a,n/a,n/a,Action Simulation,2016-01-15,https://www.playstationtrophies.org/game/star-wars-jedi-starfighter/guide/
Star Wars: Racer Revenge,PS4,True,False,5,15,False,Racing,2016-01-15,https://www.playstationtrophies.org/game/star-wars-racer-revenge/guide/
Star Wars The Force Unleashed,PS3,True,True,6,20,True,Action,2008-09-16,https://www.playstationtrophies.org/game/star-wars-the-force-unleashed/guide/
Star Wars The Force Unleashed 2,PS3,True,True,5,15,False,Action,2010-10-26,https://www.playstationtrophies.org/game/star-wars-the-force-unleashed-ii/guide/
Starwhal,PS3(PSN),False,True,n/a,n/a,n/a,Fighting,2015-02-24,https://www.playstationtrophies.org/game/starwhal-ps3/guide/
Stealth Inc.,PS4,False,False,n/a,n/a,n/a,Action Puzzle and Word,2014-03-18,https://www.playstationtrophies.org/game/stealth-inc-ultimate-edition/guide/
Steep,PS4,True,True,8,35,True,Sports and Fitness,2016-12-02,https://www.playstationtrophies.org/game/steep/guide/
Stick it to the Man,PS4,True,False,2,5,False,Adventure,2014-05-06,https://www.playstationtrophies.org/game/stick-it-to-the-man-ps4/guide/
Stikbold! A Dodgeball Adventure,PS4,True,True,4,12,False,Action Sports and Fitness,n/a,https://www.playstationtrophies.org/game/stikbold/guide/
Street Fighter III: 3rd Strike Online Edition,PS3(PSN),True,False,3,5,True,Fighting,2011-08-23,https://www.playstationtrophies.org/game/street-fighter-iii-3rd-strike-online-edition/guide/
Strider,PS4,True,True,3,12,False,Action,2014-02-18,https://www.playstationtrophies.org/game/strider-ps4/guide/
Strike Suit Zero: Director's Cut,PS4,True,False,unknown,10,False,Shooter,2014-04-08,https://www.playstationtrophies.org/game/strike-suit-zero/guide/
Strong Bad's Cool Game for Attractive People - Episode 1: Homestar Ruiner,PS3(PSN),True,False,3,6,True,Adventure,2010-12-21,https://www.playstationtrophies.org/game/strong-bad-cool-game-ep-1/guide/
Strong Bad's Cool Game for Attractive People - Episode 2: Strong Badia the Free,PS3(PSN),True,False,2,6,False,Adventure,2010-12-21,https://www.playstationtrophies.org/game/strong-bad-cool-game-ep-2/guide/
Strong Bad's Cool Game for Attractive People - Episode 3: Baddest of the Bands,PS3(PSN),True,False,3,6,True,Adventure,2010-12-21,https://www.playstationtrophies.org/game/strong-bad-cool-game-ep-3/guide/
Strong Bad's Cool Game for Attractive People - Episode 4: Dangeresque 3: The Criminal Projective,PS3(PSN),True,False,3,6,True,Adventure,2010-12-21,https://www.playstationtrophies.org/game/strong-bad-cool-game-ep-4/guide/
Strong Bad's Cool Game for Attractive People - Episode 5: 8-Bit is Enough,PS3(PSN),True,False,3,6,True,Adventure,2010-12-21,https://www.playstationtrophies.org/game/strong-bad-cool-game-ep-5/guide/
Styx: Shards of Darkness,PS4,True,True,4,25,False,Action,2017-03-14,https://www.playstationtrophies.org/game/styx-shards-of-darkness/guide/
Super Dungeon Bros,PS4,False,True,n/a,n/a,n/a,Action,2016-11-01,https://www.playstationtrophies.org/game/super-dungeon-bros/guide/
Super Hang-On,PS3(PSN),True,False,1,1,True,Racing,2012-05-22,https://www.playstationtrophies.org/game/super-hang-on/guide/
Super Mega Baseball,PS4,False,False,n/a,n/a,n/a,Sports and Fitness,2014-12-16,https://www.playstationtrophies.org/game/super-mega-baseball/guide/
Super Puzzle Fighter II Turbo HD Remix,PS3(no_trophies),n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Super Stacker,PS3(PSN),True,False,9,10,False,Puzzle and Word,2010-05-25,https://www.playstationtrophies.org/game/super-stacker/guide/
Super Star Wars,PS4,True,False,4,4,False,Action Shooter,2016-01-15,https://www.playstationtrophies.org/game/super-star-wars/guide/
Super Stardust HD,PS3(PSN),True,False,7,20,False,Shooter,2007-06-28,https://www.playstationtrophies.org/game/super-stardust-hd/guide/
Super Street Fighter II Turbo HD Remix,PS3(no_trophies),n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Super Toy Cars,PS4,True,False,2,10,False,Racing,2016-01-05,https://www.playstationtrophies.org/game/super-toy-cars/guide/
Surgeon Simulator: Anniversary Edition,PS4,True,True,9,50,False,Simulation,2014-08-12,https://www.playstationtrophies.org/game/surgeon-simulator/guide/
Syberia,PS3(PSN),True,False,1,6,True,Adventure,2014-02-12,https://www.playstationtrophies.org/game/syberia/guide/
Syberia II,PS3(PSN),True,False,2,6,False,Adventure,2015-03-31,https://www.playstationtrophies.org/game/syberia-2/guide/
Table Top Racing: World Tour,PS4,True,True,5,15,False,Racing,2016-05-03,https://www.playstationtrophies.org/game/table-top-racing-world-tour/guide/
Tachyon Project,PS4,True,False,3,5,False,Shmup,2016-01-19,https://www.playstationtrophies.org/game/tachyon-project/guide/
Tales from Space: About a Blob,PS3(PSN),True,False,8,10,False,Adventure,2011-02-08,https://www.playstationtrophies.org/game/tales-from-space-about-a-blob/guide/
Tales from Space: Mutant Blobs Attack,PS3(PSN),False,False,n/a,n/a,n/a,Action Adventure,2014-06-17,https://www.playstationtrophies.org/game/tales-from-space-mutant-blobs-attack-ps3/guide/
Tales of Zestiria,PS4,True,True,6,90,False,RPG,n/a,https://www.playstationtrophies.org/game/tales-of-zestiria-ps4/guide/
Tearaway Unfolded,PS4,True,True,3,25,False,Adventure,2015-09-08,https://www.playstationtrophies.org/game/tearaway-unfolded/guide/
The Technomancer,PS4,False,True,n/a,n/a,n/a,RPG,2016-06-28,https://www.playstationtrophies.org/game/the-technomancer/guide/
Tekken 7,PS4,True,True,2,10,True,Fighting,2017-06-02,https://www.playstationtrophies.org/game/tekken-7/guide/
Tekken Tag Tournament 2,PS3,True,True,3,20,True,Fighting,2012-09-11,https://www.playstationtrophies.org/game/tekken-tag-tournament-2/guide/
Tennis in the Face,PS4,True,False,2,5,False,Action,2014-11-11,https://www.playstationtrophies.org/game/tennis-in-the-face/guide/
Terraria,PS4(PSN),True,True,9,300,False,Adventure RPG,2013-03-26,https://www.playstationtrophies.org/game/terraria/guide/
Tetraminos,PS4,False,False,n/a,n/a,n/a,Puzzle and Word,n/a,https://www.playstationtrophies.org/game/tetraminos/guide/
The Awakened Fate Ultimatum,PS3,True,True,4,70,False,n/a,2015-03-17,https://www.playstationtrophies.org/game/the-awakened-fate-ultimatum-na/guide/
DeathSpank: The Baconing,PS3(PSN),True,False,3,12,False,Action RPG,2011-08-30,https://www.playstationtrophies.org/game/deathspank-the-baconing/guide/
The Book of Unwritten Tales 2,PS4,True,True,2,25,False,Adventure,2015-09-22,https://www.playstationtrophies.org/game/the-book-of-unwritten-tales-2/guide/
The Bug Butcher,PS4,True,False,4,10,False,Action,n/a,https://www.playstationtrophies.org/game/the-bug-butcher/guide/
The Darkness,PS3(no_trophies),n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
The Darkness 2,PS3,True,True,3,7,False,Shooter,2012-02-07,https://www.playstationtrophies.org/game/the-darkness-ii/guide/
The Deer God,PS4,True,True,3,12,False,Action,n/a,https://www.playstationtrophies.org/game/the-deer-god-ps4/guide/
The Dwarves,PS4,True,True,3,20,False,RPG,2016-12-01,https://www.playstationtrophies.org/game/the-dwarves/guide/
The Elder Scrolls IV: Oblivion,PS3(no_trophies),n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
The Elder Scrolls Online,PS4,False,True,n/a,n/a,n/a,RPG,2015-06-09,https://www.playstationtrophies.org/game/the-elder-scrolls-online-tamriel-unlimited/guide/
The Evil Within,PS4,True,True,8,50,False,Action Adventure,2014-10-14,https://www.playstationtrophies.org/game/the-evil-within-ps4-eu/guide/
The Evil Within 2,PS4,True,True,8,40,False,Action,2017-10-13,https://www.playstationtrophies.org/game/the-evil-within-2/guide/
The Final Station,PS4,False,False,n/a,n/a,n/a,n/a,2016-08-30,https://www.playstationtrophies.org/game/the-final-station/guide/
The Golf Club 2019,PS4,False,True,n/a,n/a,n/a,Sports and Fitness,2018-08-28,https://www.playstationtrophies.org/game/the-golf-club-2019/guide/
The Guided Fate Paradox,PS3,True,True,9,200,False,RPG,2013-11-05,https://www.playstationtrophies.org/game/the-guided-fate-paradox-english/guide/
The House of the Dead 3,PS3(PSN),True,False,7,10,False,Shooter Survival Horror,2012-02-14,https://www.playstationtrophies.org/game/the-house-of-the-head-3/guide/
The House of the Dead 4,PS3(PSN),True,False,7,25,False,Shooter Survival Horror,2012-04-17,https://www.playstationtrophies.org/game/the-house-of-the-head-4/guide/
The House of the Dead Overkill Extended Cut,PS3,True,True,unknown,100,False,Shooter Survival Horror,2011-10-25,https://www.playstationtrophies.org/game/house-of-the-dead-overkill-extended-cut/guide/
The King of Fighters XIII,PS3,True,True,9,50,True,Fighting,2011-11-22,https://www.playstationtrophies.org/game/the-king-of-fighters-xiii/guide/
The Keeper of 4 Elements,PS4,True,False,5,10,False,Strategy,n/a,https://www.playstationtrophies.org/game/the-keeper-of-4-elements-ps4/guide/
The Last Blade 2,PS4,True,False,2,5,False,Fighting,2016-05-24,https://www.playstationtrophies.org/game/the-last-blade-2/guide/
The Last Guy,PS3(PSN),True,False,8,40,False,Action Strategy,2008-08-28,https://www.playstationtrophies.org/game/the-last-guy/guide/
The Last of Us,PS3,True,True,6,70,False,Action Shooter,2013-06-14,https://www.playstationtrophies.org/game/the-last-of-us/guide/
The Legend of Heroes: Trails of Cold Steel,PS4,True,True,6,100,False,RPG,2015-12-22,https://www.playstationtrophies.org/game/the-legend-of-heroes-trails-of-cold-steel/guide/
The Legend of Heroes: Trails of Cold Steel II,PS4,False,True,n/a,n/a,n/a,RPG,2016-09-06,https://www.playstationtrophies.org/game/the-legend-of-heroes-trails-of-cold-steel-ii-ps3-vita/guide/
The LEGO Movie Videogame,PS3,True,True,3,25,False,Action Adventure,2014-02-07,https://www.playstationtrophies.org/game/the-lego-movie-videogame/guide/
The Metronomicon: Slay the Dance Floor,PS4,False,True,n/a,n/a,n/a,Music and Rhythm,2017-08-29,https://www.playstationtrophies.org/game/the-metronomicon-slay-the-dance-floor-na/guide/
The Raven Remastered,PS4,True,True,1,15,False,Adventure,2018-03-13,https://www.playstationtrophies.org/game/the-raven-remastered/guide/
The Raven,PS3(PSN),True,True,1,15,False,Adventure,2014-01-14,https://www.playstationtrophies.org/game/the-raven/guide/
The Spectrum Retreat,PS4,False,False,n/a,n/a,n/a,Adventure Puzzle and Word,2018-07-10,https://www.playstationtrophies.org/game/the-spectrum-retreat-na/guide/
The Surge,PS4,True,True,5,50,False,RPG,2017-05-16,https://www.playstationtrophies.org/game/the-surge/guide/
The Swapper,PS4(PSN),True,False,1,2,False,Action Puzzle and Word,2014-08-05,https://www.playstationtrophies.org/game/the-swapper/guide/
The Swindle,PS4,True,False,7,15,False,Action,2015-07-28,https://www.playstationtrophies.org/game/the-swindle/guide/
The Treasures of Montezuma 4,PS4,True,True,3,25,False,Puzzle and Word,2015-12-22,https://www.playstationtrophies.org/game/the-treasures-of-montezuma-4/guide/
The UnderGarden™,PS3(PSN),True,False,2,12,False,Puzzle and Word,2011-02-01,https://www.playstationtrophies.org/game/the-undergarden/guide/
The Unfinished Swan,PS4,True,False,2,4,False,Adventure,2014-10-28,https://www.playstationtrophies.org/game/the-unfinished-swan-ps4/guide/
The Vanishing of Ethan Carter,PS4,True,False,2,3,False,Adventure,2015-07-15,https://www.playstationtrophies.org/game/the-vanishing-ethan-carter/guide/
The Witch and the Hundred Knight: Revival Edition,PS4,True,True,6,50,False,RPG,2017-03-04,https://www.playstationtrophies.org/game/the-witch-and-the-hundred-knight-ps4/guide/
The Wolf Among Us,PS3(PSN),True,True,1,11,False,Adventure,2013-10-11,https://www.playstationtrophies.org/game/the-wolf-among-us/guide/
This is the Police,PS4,True,False,2,20,False,Adventure Strategy,2017-03-22,https://www.playstationtrophies.org/game/this-is-the-police/guide/
This War of Mine: The Little Ones,PS4,True,True,5,20,True,Adventure Simulation,2016-01-29,https://www.playstationtrophies.org/game/this-war-of-mine-the-little-ones/guide/
Thomas was Alone,PS4(PSN),True,False,1,5,False,Adventure Puzzle and Word,2013-04-23,https://www.playstationtrophies.org/game/thomas-was-alone/guide/
Thunder Wolves,PS3(PSN),False,False,n/a,n/a,n/a,Action,2013-08-13,https://www.playstationtrophies.org/game/thunder-wolves/guide/
Tiny Brains,PS4,True,False,4,10,False,Puzzle and Word Action,2013-12-03,https://www.playstationtrophies.org/game/tiny-brains-ps4/guide/
Titan Attacks!,PS4(PSN),True,False,3,3,False,Shooter,n/a,https://www.playstationtrophies.org/game/titan-attacks/guide/
Titan Quest,PS4,False,True,n/a,n/a,n/a,Action RPG,n/a,https://www.playstationtrophies.org/game/titan-quest/guide/
Tokyo Jungle,PS3(PSN),True,False,5,20,True,Action,2012-09-25,https://www.playstationtrophies.org/game/tokyo-jungle/guide/
Tokyo Twilight Ghost Hunters Daybreak: Special Gigs,PS4,False,True,n/a,n/a,n/a,Strategy,n/a,https://www.playstationtrophies.org/game/tokyo-twilight-ghost-hunters-daybreak-special-gigs-na/guide/
Tom Clancy's Rainbow Six Siege,PS4,True,True,6,60,True,Shooter,2015-12-01,https://www.playstationtrophies.org/game/rainbow-six-siege/guide/
Torment: Tides of Numenera,PS4,False,True,n/a,n/a,n/a,RPG,2017-02-28,https://www.playstationtrophies.org/game/torment-tides-of-numenera/guide/
Touhou: Scarlet Curiosity,PS4,False,False,n/a,n/a,n/a,RPG Adventure,2017-09-20,https://www.playstationtrophies.org/game/touhou-scarlet-curiosity/guide/
Touhou Genso Rondo,PS4,True,True,4,20,False,Fighting,n/a,https://www.playstationtrophies.org/game/touhou-genso-rondo-ps4/guide/
Toukiden 2,PS4,True,True,5,200,False,RPG Action,2017-03-21,https://www.playstationtrophies.org/game/toukiden-2/guide/
Toukiden: Kiwami,PS4,False,True,n/a,n/a,n/a,Action,2015-03-31,https://www.playstationtrophies.org/game/toukiden-kiwami-ps4/guide/
Tour de France 2015,PS3,False,True,n/a,n/a,n/a,Sports and Fitness,n/a,https://www.playstationtrophies.org/game/tour-de-france-2015-ps3/guide/
Tour de France 2016,PS4,False,True,n/a,n/a,n/a,Sports and Fitness,n/a,https://www.playstationtrophies.org/game/tour-de-france-2016/guide/
Toy Home,PS3(no_trophies),n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Toy Story Mania!,PS3,True,True,1,8,False,Party,2012-10-30,https://www.playstationtrophies.org/game/toy-story-mania/guide/
Toybox Turbos,PS3(PSN),True,False,2,6,True,Racing,n/a,https://www.playstationtrophies.org/game/toybox-turbos/guide/
Trash Panic,PS3(PSN),True,False,9,50,False,Puzzle and Word,2009-06-04,https://www.playstationtrophies.org/game/trash-panic/guide/
Tricky Towers,PS4,True,True,7,25,True,Puzzle and Word,2016-08-02,https://www.playstationtrophies.org/game/tricky-towers/guide/
Trine,PS3(PSN),True,True,4,10,False,Action,2009-10-22,https://www.playstationtrophies.org/game/trine/guide/
Trinity: Souls of Zill O'll,PS3,True,True,6,55,False,RPG,2011-02-08,https://www.playstationtrophies.org/game/trinity-souls-of-zill-oll/guide/
TRON: Evolution,PS3,True,True,4,20,True,Action Adventure,2010-12-07,https://www.playstationtrophies.org/game/tron-evolution/guide/
TRON RUN/r,PS4,True,False,4,12,False,Action,2016-02-16,https://www.playstationtrophies.org/game/tron-runr/guide/
Tropico 5,PS4,True,True,3,25,False,Strategy,2015-04-23,https://www.playstationtrophies.org/game/tropico-5/guide/
Truck Racer,PS3(PSN),True,True,3,10,True,Racing,2014-02-04,https://www.playstationtrophies.org/game/truck-racer/guide/
Twisted Metal,PS3,True,True,9,80,True,Action,2012-02-14,https://www.playstationtrophies.org/game/twisted-metal/guide/
Ultra Street Fighter IV,PS4,False,True,n/a,n/a,n/a,Fighting,2015-05-26,https://www.playstationtrophies.org/game/ultra-street-fighter-iv-ps4/guide/
Umbrella Corps,PS4,True,True,8,100,True,Shooter,2016-06-21,https://www.playstationtrophies.org/game/umbrella-corps/guide/
Uncharted 2: Among Thieves,PS3,True,True,5,25,True,Action Shooter,2009-10-13,https://www.playstationtrophies.org/game/uncharted-2-among-thieves/guide/
Uncharted 3: Drake's Deception,PS3,True,True,4,30,False,Action Shooter,2011-11-01,https://www.playstationtrophies.org/game/uncharted-3-drakes-deception/guide/
Uncharted: Drake’s Fortune,PS3,True,True,5,25,False,Action Shooter,2007-11-20,https://www.playstationtrophies.org/game/uncharted-drakes-fortune/guide/
Under Night In-Birth Exe:Late,PS3,True,True,3,15,True,Action,2015-02-24,https://www.playstationtrophies.org/game/under-night-in-birth-exe-late/guide/
Until Dawn,PS4,True,True,2,15,False,Adventure,2015-08-25,https://www.playstationtrophies.org/game/until-dawn/guide/
Urban Trial FreeStyle,PS3(PSN),True,False,7,30,False,Racing,2013-02-19,https://www.playstationtrophies.org/game/urban-trial-freestyle-ps3/guide/
Valkyria Chronicles Remastered,PS4,True,True,4,50,False,RPG,2016-05-17,https://www.playstationtrophies.org/game/valkyria-chronicles-remastered/guide/
Vampyr,PS4,True,True,4,25,False,RPG,2018-06-05,https://www.playstationtrophies.org/game/vampyr/guide/
Vegas Party,PS4,False,True,n/a,n/a,n/a,Party,2017-12-08,https://www.playstationtrophies.org/game/vegas-party-ps4/guide/
Velocibox,PS4,False,False,n/a,n/a,n/a,Action,n/a,https://www.playstationtrophies.org/game/velocibox/guide/
Velocity 2X,PS4,True,True,7,5,False,Action,2014-09-02,https://www.playstationtrophies.org/game/velocity-2x/guide/
Velocity Ultra,PS3,True,True,7,20,False,Shooter Action,2013-07-02,https://www.playstationtrophies.org/game/velocity-ultra-vita/guide/
Vessel,PS3(PSN),True,False,4,15,False,Action Puzzle and Word,2014-03-11,https://www.playstationtrophies.org/game/vessel/guide/
Vikings: Wolves of Midgard,PS4,False,True,n/a,n/a,n/a,Action RPG,2017-03-28,https://www.playstationtrophies.org/game/vikings-wolves-of-midgard/guide/
Virtua Fighter 2,PS3(PSN),True,False,1,2,False,Fighting,2012-11-27,https://www.playstationtrophies.org/game/virtua-fighter-2/guide/
Virtua Fighter 5: Final Showdown,PS3(PSN),True,False,1,2,True,Fighting,2012-06-05,https://www.playstationtrophies.org/game/virtua-fighter-5-final-showdown/guide/
Voodoo Chronicles: The First Sign,PS3(PSN),True,False,3,5,True,Puzzle and Word Adventure,2013-07-16,https://www.playstationtrophies.org/game/voodoo-chronicles-the-first-sign-na/guide/
Wakeboarding HD,PS3(PSN),True,False,7,20,False,Sports and Fitness,2010-03-25,https://www.playstationtrophies.org/game/wakeboarding-hd/guide/
Warlords,PS3(PSN),False,False,n/a,n/a,n/a,Action,2012-10-09,https://www.playstationtrophies.org/game/warlords/guide/
Warriors All-Stars,PS4,True,True,4,120,False,Action,2017-08-29,https://www.playstationtrophies.org/game/warriors-all-stars/guide/
Warriors: Legends of Troy,PS3,True,True,5,50,True,Action,2011-03-15,https://www.playstationtrophies.org/game/warriors-legends-of-troy/guide/
Warriors Orochi 3,PS3,True,True,3,70,False,Action,2012-03-20,https://www.playstationtrophies.org/game/warriors-orochi-3/guide/
Wasteland 2: Director's Cut,PS4,True,True,2,50,False,RPG Strategy,2015-10-13,https://www.playstationtrophies.org/game/wasteland-2-director-s-cut-na/guide/
Way of the Samurai 3,PS3,True,True,7,120,False,Action,2009-10-20,https://www.playstationtrophies.org/game/way-of-the-samurai-3/guide/
Way of the Samurai 4,PS3,False,True,n/a,n/a,n/a,Action,2012-08-21,https://www.playstationtrophies.org/game/way-of-the-samurai-4/guide/
Wet,PS3,True,True,7,25,True,Action,2009-09-15,https://www.playstationtrophies.org/game/wet/guide/
When Vikings Attack,PS3(PSN),True,False,9,20,False,Action,2012-11-06,https://www.playstationtrophies.org/game/when-vikings-attack/guide/
Whispering Willows,PS4,True,False,2,3,False,Adventure,2015-06-30,https://www.playstationtrophies.org/game/whispering-willows/guide/
White Knight Chronicles,PS3,True,True,8,600,False,RPG,2010-02-02,https://www.playstationtrophies.org/game/white-knight-chronicles/guide/
Wild ARMs 3,PS4,True,True,4,100,False,RPG,2016-05-17,https://www.playstationtrophies.org/game/wild-arms-3/guide/
Wild Guns Reloaded,PS4,False,False,n/a,n/a,n/a,Action,2016-12-13,https://www.playstationtrophies.org/game/wild-guns-reloaded/guide/
Wizardry: Labyrinth of Lost Souls,PS3(PSN),True,True,6,200,False,RPG,2011-06-01,https://www.playstationtrophies.org/game/wizardry/guide/
Wolfenstein The New Order,PS4,True,True,3,15,False,Shooter,2014-05-20,https://www.playstationtrophies.org/game/wolfenstein-the-new-order-ps4/guide/
Wolfenstein The Old Blood,PS4,True,True,5,12,False,Shooter,2015-05-05,https://www.playstationtrophies.org/game/wolfenstein-the-old-blood/guide/
Wolfenstein II: The New Colossus,PS4,True,True,10,100,False,Shooter,2017-10-27,https://www.playstationtrophies.org/game/wolfenstein-2-the-new-colossus/guide/
World to the West,PS4,False,True,n/a,n/a,n/a,Action,2017-05-05,https://www.playstationtrophies.org/game/world-to-the-west/guide/
WRC 4,PS3,True,True,1,26,True,Racing Simulation,n/a,https://www.playstationtrophies.org/game/wrc-4/guide/
WRC 5,PS4,True,True,1,20,True,Racing,n/a,https://www.playstationtrophies.org/game/wrc-5/guide/
Wuppo,PS4,False,True,n/a,n/a,n/a,Action,n/a,https://www.playstationtrophies.org/game/wuppo/guide/
WWE 2K16,PS4,True,True,3,125,True,Sports and Fitness,2015-10-27,https://www.playstationtrophies.org/game/wwe-2k16/guide/
WWE 2K18,PS4,False,True,n/a,n/a,n/a,Sports and Fitness,2017-10-17,https://www.playstationtrophies.org/game/wwe-2k18/guide/
XBLAZE Code: Embryo,PS3,True,True,2,30,False,Adventure,2014-06-24,https://www.playstationtrophies.org/game/xblaze-code-embryo-na-ps3/guide/
